size, procs, ordered_mean, static_mean
10000,1,3.927444,0.517000
10000,2,4.291687,0.371616
10000,3,4.971613,0.557221
10000,4,5.405040,0.844048
10000,5,5.665468,0.813705
10000,6,6.061333,0.744050
15000,1,8.083197,0.912950
15000,2,8.518132,0.579620
15000,3,9.541772,0.905194
15000,4,10.436310,1.476431
15000,5,10.721038,1.440705
15000,6,11.193500,1.380893
20000,1,14.024926,1.462815
20000,2,14.471301,0.845009
20000,3,15.978950,1.403021
20000,4,17.232489,2.323672
20000,5,17.496488,2.221533
20000,6,18.214138,2.221867
25000,1,21.662043,2.218310
25000,2,22.142324,1.226819
25000,3,24.230904,2.121524
25000,4,25.906039,3.473175
25000,5,26.179556,3.109686
25000,6,26.955794,3.108862
30000,1,31.033971,2.999375
30000,2,31.423977,1.690274
30000,3,34.269480,2.998106
30000,4,36.672656,4.737000
30000,5,36.708184,4.544564
30000,6,37.968958,4.266156
35000,1,42.045920,4.103743
35000,2,42.547726,2.343084
35000,3,46.160899,3.932939
35000,4,49.078198,6.516619
35000,5,49.165902,6.243021
35000,6,50.493252,5.963974
40000,1,54.738979,5.292270
40000,2,55.225179,2.911542
40000,3,59.960506,5.106113
40000,4,63.489033,8.052808
40000,5,63.503570,7.631115
40000,6,64.992008,7.407704
